noise: 0.05
length: 10

TN,FN,TP,FP
82,18,35,3
79,21,33,6
87,13,55,1
88,12,60,2
88,12,39,7
85,15,59,3
83,17,39,3
80,20,46,2
89,11,63,5
81,19,51,4
83,17,36,8
82,18,41,8
90,10,55,7
85,15,44,4
91,9,43,6
89,11,58,5
84,16,38,5
85,15,47,2
90,10,59,11
91,9,41,6
90,10,59,6
90,10,44,6
90,10,32,2
92,8,37,1
88,12,56,5
86,14,59,9
86,14,61,5
89,11,50,1
84,16,51,5
87,13,37,2
85,15,44,4
86,14,40,2
87,13,44,3
85,15,49,5
87,13,54,4
91,9,51,1
88,12,45,5
83,17,62,1
88,12,44,8
94,6,51,0
83,17,53,6
88,12,58,2
84,16,42,4
81,19,39,5
87,13,39,4
87,13,49,4
85,15,39,6
86,14,43,3
90,10,46,6
86,14,48,5
90,10,53,4
79,21,38,4
82,18,41,6
85,15,41,7
84,16,38,3
80,20,44,3
88,12,50,2
89,11,46,7
86,14,48,4
79,21,61,2
88,12,52,1
88,12,48,7
82,18,32,4
91,9,45,6
85,15,55,6
91,9,50,8
84,16,38,9
81,19,51,7
84,16,47,5
87,13,47,7
84,16,50,7
89,11,44,4
92,8,59,10
83,17,55,7
85,15,47,4
85,15,45,1
92,8,38,2
88,12,43,2
80,20,56,5
86,14,35,2
89,11,48,5
88,12,51,0
87,13,44,6
91,9,55,7
87,13,39,3
85,15,44,4
81,19,41,6
87,13,50,10
89,11,50,5
88,12,46,1
98,2,46,2
83,17,64,2
82,18,42,5
80,20,59,6
84,16,49,4
85,15,35,2
87,13,39,5
90,10,47,4
81,19,35,0
88,12,53,5
85,15,50,4
79,21,49,3
84,16,57,2
88,12,47,2
82,18,36,8
80,20,66,5
85,15,42,2
89,11,38,2
85,15,59,6
79,21,44,5
89,11,39,6
91,9,42,4
86,14,53,6
90,10,47,3
84,16,38,6
86,14,47,2
87,13,49,1
89,11,47,6
81,19,48,7
88,12,45,4
83,17,47,2
85,15,68,5
93,7,48,5
80,20,51,2
85,15,58,11
88,12,48,6
87,13,42,3
92,8,64,6
85,15,45,3
90,10,63,2
81,19,45,4
92,8,41,2
87,13,43,3
88,12,29,2
87,13,47,5
89,11,45,6
85,15,56,3
85,15,48,8
88,12,41,4
89,11,50,2
82,18,50,2
88,12,48,5
90,10,40,5
85,15,36,7
90,10,44,1
86,14,43,7
86,14,51,5
87,13,48,4
87,13,49,5
88,12,48,6
89,11,55,6
81,19,54,2
84,16,51,3
86,14,60,3
87,13,39,3
80,20,51,8
86,14,43,7
89,11,54,5
85,15,49,10
81,19,46,2
84,16,47,5
91,9,48,7
87,13,42,3
86,14,56,10
83,17,44,1
89,11,51,1
86,14,43,9
93,7,59,2
86,14,59,4
86,14,43,6
87,13,38,5
89,11,46,6
87,13,52,7
86,14,46,4
87,13,46,6
87,13,53,7
88,12,64,6
91,9,59,4
84,16,38,4
84,16,46,6
82,18,54,5
87,13,54,5
83,17,40,2
91,9,35,9
89,11,55,5
85,15,50,7
91,9,51,3
84,16,49,2
93,7,53,6
84,16,50,5
91,9,44,3
91,9,42,3
84,16,42,4
90,10,43,9
91,9,53,4
87,13,45,5
86,14,40,5
89,11,44,4
89,11,43,3
91,9,42,6
91,9,43,10
89,11,37,4
86,14,48,8
88,12,40,3
86,14,43,5
86,14,43,4
87,13,39,6
89,11,38,4
88,12,56,7
90,10,44,7
83,17,47,6
84,16,71,3
89,11,48,4
89,11,50,8
83,17,41,8
86,14,52,6
93,7,45,4
86,14,52,6
88,12,52,7
86,14,51,2
84,16,50,5
82,18,58,4
87,13,53,5
86,14,37,4
88,12,40,2
84,16,49,3
84,16,56,3
89,11,45,1
86,14,44,3
87,13,47,7
91,9,40,4
87,13,63,1
86,14,71,5
90,10,44,5
83,17,42,3
86,14,57,2
89,11,46,2
94,6,68,7
84,16,42,5
87,13,48,7
87,13,46,3
85,15,44,1
87,13,32,5
87,13,49,1
88,12,43,3
87,13,58,4
83,17,40,2
76,24,47,2
79,21,57,3
83,17,41,2
83,17,44,5
88,12,50,2
86,14,51,2
82,18,47,1
86,14,67,1
87,13,52,4
88,12,48,2
83,17,64,2
90,10,47,2
91,9,34,10
91,9,58,2
84,16,35,5
89,11,47,4
84,16,37,5
86,14,51,5
88,12,55,5
87,13,54,4
90,10,51,5
87,13,32,5
91,9,58,9
87,13,45,8
94,6,41,0
89,11,53,3
89,11,48,4
86,14,57,2
85,15,45,3
90,10,48,4
92,8,51,5
91,9,44,5
93,7,62,7
88,12,42,5
88,12,48,6
91,9,48,6
87,13,46,3
88,12,66,9
81,19,50,4
81,19,38,1
87,13,49,5
86,14,59,5
84,16,57,8
88,12,48,4
84,16,40,7
89,11,50,5
88,12,44,5
86,14,44,3
93,7,45,7
86,14,54,6
86,14,51,2
89,11,43,6
86,14,45,4
84,16,59,6
91,9,42,3
83,17,50,5
79,21,65,2
83,17,65,1
82,18,40,8
81,19,42,6
87,13,36,2
85,15,42,2
81,19,49,2
84,16,51,6
86,14,43,1
93,7,46,4
